Reference	Hypothesis	Count
<inserted>	את	7
הוא	<deleted>	5
<inserted>	אם	3
כי	<deleted>	3
<inserted>	לא	3
או	<deleted>	3
לא	<deleted>	3
<inserted>	אני	2
אצל	יוצא	2
עם	היא	2
מנוחה	מלוכה	2
שמים	שמיים	2
עור	אור	2
<inserted>	על	2
ההכנסה	ההסמסה	2
היא	<deleted>	2
השמים	השמיים	2
כן	<deleted>	2
אם	עם	2
עם	<deleted>	2
את	<deleted>	2
עם	אם	2
אני	<deleted>	2
<inserted>	זה	2
<inserted>	ואי	2
<inserted>	אח	2
<inserted>	של	2
<inserted>	ב	2
אלא	אלה	1
חוויה	חברה	1
נעימה	<deleted>	1
בעולם	גדולה	1
רץ	רק	1
למכולת	במכולת	1
תאגיד	התאגיד	1
הארכת	הערכת	1
מאריכות	מעריכות	1
שדרות	סדרות	1
<inserted>	תראו	1
הורדו	כיפוליו	1
טיפוליו	זה	1
לרמת	רמת	1
קופת	כוחת	1
חולים	חיים	1
קולו	חולו	1
בביתו	בבית	1
<inserted>	‫לא	1
יש	סתם	1
שם	בקבוצה	1
קבוצה	מהרגע	1
מעורבת	‫אבל	1
מעבריינים	באמת	1
מהסוגים	מסוגים	1
השונים	שונים	1
בחינה	תחילה	1
מכיר	מקים	1
בשום	מקים	1
תחום	קצור	1
מביא	מוביל	1
הכרה	הבראה	1
הספורטאים	כספוטאים	1
<inserted>	כך	1
ההכנסה	הכניסה	1
היותר	יותר	1
ממכירת	כניסה	1
בולים	גדולה	1
ספנים	סופנים	1
היוצאים	הייתי	1
זמר	הרבה	1
תמים	פעמים	1
מרוכז	מרוחב	1
שממילא	שממלא	1
במפעלים	מפעלים	1
לא	קיבלו	1
מפני	<deleted>	1
מה	בתנועה	1
הסתלקו	התחלקו	1
להן	להם	1
ירוחם	ברכה	1
שלמדו	שלומדו	1
שם	<deleted>	1
הערות	שהמערות	1
נתקבלה	נתקבלו	1
<inserted>	ברית	1
בראשון	מן	1
לציון	ציון	1
מדובר	מדוברב	1
ב20	20	1
גז	<deleted>	1
סגניו	גנב	1
<inserted>	מבינים	1
רימונים	מכל	1
הושלכו	התוכנית	1
לתוך	של	1
חצרותיהם	התוכנית	1
<inserted>	מטפש	1
מצפה	את	1
שזה	זה	1
יקרה	יותר	1
רעב	ראה	1
למפגעים	למבקעים	1
מהם	<deleted>	1
אגרה	מהמגע	1
המובטלים	למובטלים	1
החרדים	לחרדים	1
בסין	לנסיעים	1
קמש	חמש	1
משהו	משהוב	1
ב2013	2013	1
אלא	על	1
אם	האם	1
1988	1978	1
רבין	רבים	1
הסושי	הסושה	1
לוודא	לרכוש	1
סופית	פתיח	1
מסודרים	מצוינים	1
איגוד	עיבוד	1
כבאות	<deleted>	1
אזור	<deleted>	1
אשקלון	קרוב	1
הכספים	כספים	1
שאל	<deleted>	1
אבא	ושאל	1
חנה	<deleted>	1
לי	חנלה	1
העז	מעז	1
בנושא	בפריסה	1
הערבה	הראשונה	1
ביושר	שלהם	1
ולהגביל	ולהגדיר	1
אבדה	עובדה	1
המורה	למורה	1
לעיסת	ליסת	1
השרתה	נשרתה	1
באסם	באסון	1
ארכו	<deleted>	1
הלילות	אחורה	1
וקצרו	פצוע	1
הימים	ימי	1
נשכבתי	השכרתי	1
חרמש	חרמיש	1
בידיים	באגדני	1
כרכרות	קרקעות	1
המילואים	מילואים	1
לטיול	לקריאות	1
כל	‫כל	1
הבריאים	הגרועים	1
מהלכים	מאלפים	1
קפיצים	תפצים	1
מתמתחים	‫מתחילים	1
ומתכווצים	מתפצים	1
מכאבי	ותרבות	1
שרירים	לדם	1
להחניקנו	להחליקנו	1
שלי	שלך	1
בקדימה	וקדימה	1
לפגוע	נפגוע	1
במצב	בצד	1
הקשה	המשך	1
ביותר	העניין	1
למנזר	למנגר	1
השתקנים	השטחים	1
יותר	יותרמ	1
מ70%	70%	1
והעוזרים	ועוזרים	1
מה	<deleted>	1
היא	על	1
ההתחשבות	התחשבית	1
קרובי	תאורי	1
וגידים	וגדים	1
מכוניות	מותגים	1
הונדה	<deleted>	1
וסיטראון	<deleted>	1
למשל	<deleted>	1
שאדם	כשאדם	1
שהוא	כשהוא	1
ערירי	ידי	1
דווקא	דווקאב	1
ב14	14	1
גפן	גחן	1
אונות	עונות	1
<inserted>	בואו	1
כל	תן	1
סמל	לי	1
הוא	למנוע	1
מועט	את	1
המרמז	המלחמה	1
להרבה	בערבית	1
על	<deleted>	1
מאירות	<deleted>	1
במין	קורחים	1
ברק	לדבר	1
מתגעגע	תגיע	1
וחולם	בפרק	1
הדיון	והצידון	1
בפניו	נכנע	1
יושהה	ויושנה	1
לבירור	<deleted>	1
ההליך	לגבור	1
הפלילי	המתנגד	1
קפצו	קורסו	1
ערמת	רמת	1
הקש	הקיץ	1
לי	לימין	1
הצד	הקו	1
הבירה	אבירה	1
עליתי	על	1
ארצה	אתייה	1
בארחותיהם	בארוחותיהם	1
קפה	קופה	1
משתפת	משותפת	1
נצר	וצורך	1
מצות	מצפות	1
תטש	תטרש	1
עולמו	עולמית	1
מכניסים	מכניס	1
<inserted>	גם	1
להמשיך	שוב	1
מקורה	הוראה	1
שחולקה	שחונקה	1
לניהנה	לנאמן	1
התגמולים	המתונגים	1
מותנים	מופנים	1
לספר	לספיו	1
הבשמים	הפסומים	1
משתמשת	משתמכת	1
בהם	על	1
ריחם	דרכה	1
משובח	מכובדת	1
סרים	שרים	1
<inserted>	מקבל	1
מקבלת	את	1
מכתבים	המכתבים	1
בריאים	גדולים	1
אזבסט	האזבסט	1
עלה	ענה	1
עיליות	ידעיות	1
תוכנית	לתוכנית	1
בפגרת	בחגרת	1
אוכל	האוכל	1
בושט	בבשק	1
לקיבה	בקיבה	1
ומתעכל	ומתקד	1
שם	נה	1
למעי	למי	1
והגס	והגל	1
תבע	טאב	1
ואני	אני	1
למסור	ולסוער	1
תנחומי	תנחומיי	1
בדרום	מיזום	1
תל	של	1
בערים	ובערים	1
אזבסט	אסבסט	1
פריך	פריח	1
<inserted>	אנחנו	1
היה	נאמר	1
תורנו	נגיד	1
היום	נגיד	1
להגיש	נגיד	1
אי	נגיד	1
אמון	נגיד	1
להביע	להביאה	1
היית	הייתה	1
כבול	כבוד	1
חדר	קדר	1
ארכה	ההליכה	1
עברנו	אמרנו	1
היום	‫היום	1
משום	<deleted>	1
מה	לשומת	1
קניתי	המצוות	1
אותו	הזאת	1
באותו	לא	1
רגע	נכון	1
לו	הוא	1
אוכלים	החום	1
זה	מסך	1
במיוחד	ומיוחד	1
פנייך	<deleted>	1
כה	פניי	1
רעים	פוליים	1
מה	וזה	1
זה	מסתם	1
281000	81000	1
מובטלים	מופסלים	1
הטובה	אדומה	1
פיטורין	פיטורים	1
ובהמשך	בהמשך	1
כנגד	כנעית	1
המקומית	הנקומית	1
אזדקק	נזדקק	1
והתביעות	והתהיות	1
שרון	שורון	1
