Filename	Reference Text	Transcribed Text	Normalized Reference	Normalized Transcribed	Alignment	WER
common_voice_he_42922381	אלא מבטאים גם הישגים בתחומי הספורט והאמנות	אלה מבטאים גם הישגים בתחומי הספורט והאומנות.	אלא מבטאים גם הישגים בתחומי הספורט והאמנות	אלה מבטאים גם הישגים בתחומי הספורט והאומנות	אלא->אלה | מבטאים->מבטאים | גם->גם | הישגים->הישגים | בתחומי->בתחומי | הספורט->הספורט | והאמנות->והאומנות	0.2857
common_voice_he_41896622	יום הזיכרון הוא יום של משפחת השכול כולה	יום הזיכרון הוא יום של משפחת השכול כולה.	יום הזיכרון הוא יום של משפחת השכול כולה	יום הזיכרון הוא יום של משפחת השכול כולה	יום->יום | הזיכרון->הזיכרון | הוא->הוא | יום->יום | של->של | משפחת->משפחת | השכול->השכול | כולה->כולה	0.0000
common_voice_he_42358470	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה.	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם->והם | נמצאים->נמצאים | במקום->במקום | הזה->הזה | לא->לא | בהתלהבות->בהתלהבות | ולא->ולא | בשמחה->בשמחה	0.0000
common_voice_he_43313168	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה.	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה	אז->אז | לצערי->לצערי | אנחנו->אנחנו | לא->לא | יכולים->יכולים | לעשות->לעשות | הרבה->הרבה	0.0000
common_voice_he_40977318	העיר הפתוחה, אז, לפני כשנתיים ומשהו	העיר הפתוחה, אז, לפני כשנתיים ומשהו.	העיר הפתוחה אז לפני כשנתיים ומשהו	העיר הפתוחה אז לפני כשנתיים ומשהו	העיר->העיר | הפתוחה->הפתוחה | אז->אז | לפני->לפני | כשנתיים->כשנתיים | ומשהו->ומשהו	0.0000
common_voice_he_42402440	הוא אמר: אני מחלק צ'קים פתוחים	הוא אמר אני מחלק צ'קים פתוחים.	הוא אמר אני מחלק צ קים פתוחים	הוא אמר אני מחלק צ קים פתוחים	הוא->הוא | אמר->אמר | אני->אני | מחלק->מחלק | צ->צ | קים->קים | פתוחים->פתוחים	0.0000
common_voice_he_43281947	זו חוויה לא הכי נעימה בעולם	זו חבירה לא הכי נעימה בעולם.	זו חוויה לא הכי נעימה בעולם	זו חבירה לא הכי נעימה בעולם	זו->זו | חוויה->חבירה | לא->לא | הכי->הכי | נעימה->נעימה | בעולם->בעולם	0.1667
common_voice_he_43281958	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים שהתפרסמו בתקשורת הם לא נכונים.	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים->המספרים | שהתפרסמו->שהתפרסמו | בתקשורת->בתקשורת | הם->הם | לא->לא | נכונים->נכונים	0.0000
common_voice_he_42487978	אני רץ למכולת, אני לא יכול לדבר	אני רץ למכולת, אני לא יכול לדבר.	אני רץ למכולת אני לא יכול לדבר	אני רץ למכולת אני לא יכול לדבר	אני->אני | רץ->רץ | למכולת->למכולת | אני->אני | לא->לא | יכול->יכול | לדבר->לדבר	0.0000
common_voice_he_42487979	שילדים קטנים ובני-נוער צורכים סמים	שילדים קטנים ובני נוער צורכים סמים.	שילדים קטנים ובני נוער צורכים סמים	שילדים קטנים ובני נוער צורכים סמים	שילדים->שילדים | קטנים->קטנים | ובני->ובני | נוער->נוער | צורכים->צורכים | סמים->סמים	0.0000
common_voice_he_41019361	זר הוא תאגיד שהשליטה בו היא בידי זר	זר הוא תאגיד שהשליטה בו היא בידי זר.	זר הוא תאגיד שהשליטה בו היא בידי זר	זר הוא תאגיד שהשליטה בו היא בידי זר	זר->זר | הוא->הוא | תאגיד->תאגיד | שהשליטה->שהשליטה | בו->בו | היא->היא | בידי->בידי | זר->זר	0.0000
common_voice_he_41019364	הארכת חיים, מצילות חיים, מאריכות חיים	הערכת חיים מצילות חיים מאריכות חיים	הארכת חיים מצילות חיים מאריכות חיים	הערכת חיים מצילות חיים מאריכות חיים	הארכת->הערכת | חיים->חיים | מצילות->מצילות | חיים->חיים | מאריכות->מאריכות | חיים->חיים	0.1667
common_voice_he_41616556	קווי רכבת כמו אשקלון-שדרות-באר-שבע	קווי רכבת כמו אשקלון, שדרות, באר שבע	קווי רכבת כמו אשקלון שדרות באר 7	קווי רכבת כמו אשקלון שדרות באר 7	קווי->קווי | רכבת->רכבת | כמו->כמו | אשקלון->אשקלון | שדרות->שדרות | באר->באר | 7->7	0.0000
common_voice_he_41616557	יהדות התורה מציעה שינוי במדיניות הכלכלית-החברתית	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית.	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית	יהדות התורה מציעה שינוי במדיניות הכלכלית החברתית	יהדות->יהדות | התורה->התורה | מציעה->מציעה | שינוי->שינוי | במדיניות->במדיניות | הכלכלית->הכלכלית | החברתית->החברתית	0.0000
common_voice_he_41616558	מְכַרְסֵם בְּאָזְנֶיךָ בְּמֶשֶׁךְ שָׁעוֹת תְּמִימוֹת לְלֹא הַפְסָקָה	מכרסם באוזניך במשך שעות תמימות ללא הפסקה.	מכרסם באוזניך במשך שעות תמימות ללא הפסקה	מכרסם באוזניך במשך שעות תמימות ללא הפסקה	מכרסם->מכרסם | באוזניך->באוזניך | במשך->במשך | שעות->שעות | תמימות->תמימות | ללא->ללא | הפסקה->הפסקה	0.0000
common_voice_he_39350850	גם הורדו טיפוליו לרמת קופת-חולים	גם הורדו טיפוליו לרמת קופת חולים.	גם הורדו טיפוליו לרמת קופת חולים	גם הורדו טיפוליו לרמת קופת חולים	גם->גם | הורדו->הורדו | טיפוליו->טיפוליו | לרמת->לרמת | קופת->קופת | חולים->חולים	0.0000
common_voice_he_39350851	הטנור שלנו שכח את קולו בביתו.	הטנור שלנו שכח את קולו בבית.	הטנור שלנו שכח את קולו בביתו	הטנור שלנו שכח את קולו בבית	הטנור->הטנור | שלנו->שלנו | שכח->שכח | את->את | קולו->קולו | בביתו->בבית	0.1667
common_voice_he_39350852	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים.	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	יש שם קבוצה מעורבת מעבריינים מהסוגים השונים	יש->יש | שם->שם | קבוצה->קבוצה | מעורבת->מעורבת | מעבריינים->מעבריינים | מהסוגים->מהסוגים | השונים->השונים	0.0000
common_voice_he_40630793	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים.	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון הדר הוא נקודת החלפה בין אוטובוסים שונים	קניון->קניון | הדר->הדר | הוא->הוא | נקודת->נקודת | החלפה->החלפה | בין->בין | אוטובוסים->אוטובוסים | שונים->שונים	0.0000
