Filename	Reference Text	Transcribed Text	Normalized Reference	Normalized Transcribed	Alignment	WER
common_voice_he_42922381	אלא מבטאים גם הישגים בתחומי הספורט והאמנות	אלה מבטאים גם הישגים בתחומי הספורט והאומנות.	אלא מבטאים גם הישגים בתחומי הספורט והאומנות	אלה מבטאים גם הישגים בתחומי הספורט והאומנות	אלא->אלה | מבטאים->מבטאים | גם->גם | הישגים->הישגים | בתחומי->בתחומי | הספורט->הספורט | והאומנות->והאומנות	0.1429
common_voice_he_41896622	יום הזיכרון הוא יום של משפחת השכול כולה	יום הזיכרון הוא יום של משפחת השכול כולה.	יום הזיכרון הוא יום של משפחת השכול כולה	יום הזיכרון הוא יום של משפחת השכול כולה	יום->יום | הזיכרון->הזיכרון | הוא->הוא | יום->יום | של->של | משפחת->משפחת | השכול->השכול | כולה->כולה	0.0000
common_voice_he_42358470	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה.	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם נמצאים במקום הזה לא בהתלהבות ולא בשמחה	והם->והם | נמצאים->נמצאים | במקום->במקום | הזה->הזה | לא->לא | בהתלהבות->בהתלהבות | ולא->ולא | בשמחה->בשמחה	0.0000
common_voice_he_43313168	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה	אז לצערי אנחנו לא יכולים לעשות הרבה	אז->אז | לצערי->לצערי | אנחנו->אנחנו | לא->לא | יכולים->יכולים | לעשות->לעשות | הרבה->הרבה	0.0000
common_voice_he_40977318	העיר הפתוחה, אז, לפני כשנתיים ומשהו	העיר הפתוחה,  אז, לפני כשנתיים ומשהו.	העיר הפתוחה אז לפני כשנתיים ומשהו	העיר הפתוחה  אז לפני כשנתיים ומשהו	העיר->העיר | הפתוחה->הפתוחה | אז->אז | לפני->לפני | כשנתיים->כשנתיים | ומשהו->ומשהו	0.0000
common_voice_he_42402440	הוא אמר: אני מחלק צ'קים פתוחים	הוא אמר אני מחלק צ'קים פתוחים	הוא אמר אני מחלק צקים פתוחים	הוא אמר אני מחלק צקים פתוחים	הוא->הוא | אמר->אמר | אני->אני | מחלק->מחלק | צקים->צקים | פתוחים->פתוחים	0.0000
common_voice_he_43281947	זו חוויה לא הכי נעימה בעולם	זו חברה לא הכי גדולה.	זו חוויה לא הכי נעימה בעולם	זו חברה לא הכי גדולה	זו->זו | חוויה->חברה | לא->לא | הכי->הכי | נעימה-><eps> | בעולם->גדולה	0.5000
common_voice_he_43281958	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים שהתפרסמו בתקשורת הם לא נכונים.	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים שהתפרסמו בתקשורת הם לא נכונים	המספרים->המספרים | שהתפרסמו->שהתפרסמו | בתקשורת->בתקשורת | הם->הם | לא->לא | נכונים->נכונים	0.0000
common_voice_he_42487978	אני רץ למכולת, אני לא יכול לדבר	אני רק במכולת,  אני לא יכול לדבר.	אני רץ למכולת אני לא יכול לדבר	אני רק במכולת  אני לא יכול לדבר	אני->אני | רץ->רק | למכולת->במכולת | אני->אני | לא->לא | יכול->יכול | לדבר->לדבר	0.2857
common_voice_he_42487979	שילדים קטנים ובני-נוער צורכים סמים	שילדים קטנים ובני נוער צורכים סמים.	שילדים קטנים ובני נוער צורכים סמים	שילדים קטנים ובני נוער צורכים סמים	שילדים->שילדים | קטנים->קטנים | ובני->ובני | נוער->נוער | צורכים->צורכים | סמים->סמים	0.0000
