Reference	Hypothesis	Count
הכול	הכל	3
מייד	מיד	3
ואלו	ואילו	2
הוא	<deleted>	2
אצל	יוצא	2
שמים	שמיים	2
<inserted>	על	2
לי	<deleted>	2
או	<deleted>	2
השמים	השמיים	2
קוקטיל	קוקטייל	2
גבוהה	גבוה	2
מאד	מאוד	2
היה	חיה	2
אתה	עתה	2
<inserted>	של	2
מרצ	מרץ	2
אלא	אלה	1
חוויה	חבירה	1
הארכת	הערכת	1
באזניך	באוזניך	1
בביתו	בבית	1
שממילא	שממלא	1
רווי	רבוי	1
במפעלים	מפעלים	1
לא	ולא	1
שם	<deleted>	1
הערות	שהמערות	1
בראשון	בראשיוני	1
לציון	ציון	1
מדובר	מדוברב	1
ב20	20	1
רימונים	אימונים	1
חצרותיהם	עצורותיהם	1
רעב	ראה	1
למפגעים	למבקעים	1
המובטלים	למובטלים	1
החרדים	לחרדים	1
ארבע	<deleted>	1
מאות	400	1
משהו	משהוב	1
ב2013	2013	1
אלא	<deleted>	1
אם	עליהם	1
הסושי	הסושה	1
הכספים	כספים	1
שאל	<deleted>	1
אבא	ושאל	1
חנה	<deleted>	1
לי	חנאלה	1
העז	מעז	1
אבדה	עבדה	1
השרתה	נשרתה	1
באסם	באסמה	1
נשכבתי	נשכרתי	1
בידים	בידיים	1
לקראתם	לקראתן	1
יותר	יותרמ	1
מ70%	70%	1
מה	<deleted>	1
היא	מהי	1
עור	אור	1
וסיטראון	וסיטואן	1
ערירי	עירי	1
דווקא	דווקאב	1
ב14	14	1
גפן	גחן	1
אונות	עונות	1
המרמז	המרמת	1
להרבה	בהרבה	1
על	<deleted>	1
מאירות	<deleted>	1
במין	מהירות	1
ברק	במדברת	1
מתגעגע	אנרגיה	1
וחולם	וחוללת	1
כי	<deleted>	1
הדיון	שהדיון	1
ערמת	רימת	1
הקש	הקיץ	1
מן	לימין	1
הצד	עצב	1
ראתיה	ראתי	1
בעיר	אוויר	1
הבירה	אווירה	1
ארצה	ארץ	1
במעצר	במעצב	1
בארחותיהם	בארוחותיהם	1
קפה	קופה	1
משתפת	משותפת	1
נצר	נצור	1
מצות	מצוות	1
תטש	תיטוש	1
מקורה	הוראה	1
לניהנה	לנאמן	1
התגמולים	התמלוגים	1
הבשמים	הפסומים	1
סרים	שרים	1
בריאים	גרועים	1
עיליות	ידעיות	1
שתיים	2	1
אוכל	האוכל	1
בושט	בוושט	1
ומתעכל	ומתאכל	1
למעי	למאי	1
והגס	והגץ	1
תבע	טאב	1
תנחומי	תנחומיי	1
בערים	ובערים	1
להביע	להביאה	1
ארכה	הלוחקה	1
כן	<deleted>	1
זה	כסף	1
פנייך	פניי	1
והתביעות	והתהיות	1
לאריק	לארק	1
היא	<deleted>	1
הרסנית	ירסנית	1
ההתייקרויות	ההתייקרות	1
2000	<deleted>	1
ושתיים	<deleted>	1
עשרה	2012	1
סובל	סבל	1
מעניין	בעניין	1
רגאטון	רגיתון	1
איזה	זה	1
מיקרוספוט	מיקרוסופט	1
גיטהאב	גיטה	1
מליארדים	מיליארדים	1
שמגיעים	כשמגיעים	1
ולפעמים	ולפעמיםב	1
