Filename	Background file	Start point (in seconds)	SNR
common_voice_he_38078769	noise-free-sound-0119.wav	31.75	0.44
common_voice_he_38078770	noise-free-sound-0840.wav	60.27	0.79
common_voice_he_38078771	noise-free-sound-0700.wav	23.71	0.24
common_voice_he_38078772	noise-free-sound-0248.wav	12.19	0.36
common_voice_he_38078773	noise-free-sound-0784.wav	18.64	1.33
common_voice_he_38078774	noise-free-sound-0551.wav	16.11	2.80
common_voice_he_38078776	noise-free-sound-0572.wav	113.70	3.36
common_voice_he_38078777	noise-free-sound-0544.wav	72.08	2.62
common_voice_he_38078778	noise-free-sound-0698.wav	37.96	4.44
common_voice_he_38078779	noise-free-sound-0266.wav	3.99	5.02
common_voice_he_38078780	noise-free-sound-0293.wav	19.53	2.14
common_voice_he_38078781	noise-free-sound-0239.wav	18.11	2.08
common_voice_he_38078782	noise-free-sound-0572.wav	5.69	0.91
common_voice_he_38078783	noise-free-sound-0031.wav	27.88	5.85
common_voice_he_38078784	noise-free-sound-0804.wav	5.94	0.32
common_voice_he_38078785	noise-free-sound-0035.wav	23.09	5.42
common_voice_he_38078786	noise-free-sound-0840.wav	61.12	1.99
common_voice_he_38078787	noise-free-sound-0560.wav	228.70	3.17
common_voice_he_38085633	noise-free-sound-0594.wav	19.87	3.28
common_voice_he_38085634	noise-free-sound-0301.wav	168.65	3.68
common_voice_he_38085635	noise-free-sound-0533.wav	23.78	2.22
common_voice_he_38085636	noise-free-sound-0634.wav	19.85	5.07
common_voice_he_38085637	noise-free-sound-0155.wav	18.10	3.31
common_voice_he_38085643	noise-free-sound-0020.wav	47.50	5.95
common_voice_he_38085644	noise-free-sound-0269.wav	26.16	4.16
common_voice_he_38085645	noise-free-sound-0544.wav	32.27	5.41
common_voice_he_38085646	noise-free-sound-0165.wav	8.71	1.51
common_voice_he_38085648	noise-free-sound-0824.wav	16.53	3.68
common_voice_he_38085649	noise-free-sound-0600.wav	28.39	1.22
common_voice_he_38085651	noise-free-sound-0002.wav	64.52	4.43
common_voice_he_38085652	noise-free-sound-0280.wav	42.29	5.34
common_voice_he_38085653	noise-free-sound-0381.wav	7.15	2.63
common_voice_he_38085655	noise-free-sound-0647.wav	6.76	5.17
common_voice_he_38085657	noise-free-sound-0454.wav	1.02	4.82
common_voice_he_38094116	noise-free-sound-0699.wav	73.76	4.79
