Reference	Hypothesis	Count
אֶת	את	14
לֹא	לא	10
היתה	הייתה	9
הִיא	היא	7
זֶה	זה	6
שֶׁל	של	6
הזה	הזה.	6
<inserted>	אי	6
ירושלים	ירושלים.	6
מָה	מה	5
הֲרֵי	הרי	5
הזאת	הזאת.	5
אי-אפשר	אפשר	5
לוֹ	לו	5
רַק	רק	5
כָּל	כל	4
אלף	<deleted>	4
עִם	עם	4
דקות	דקות.	4
עשרים	<deleted>	4
אלפיים	<deleted>	4
<inserted>	לבית	4
אֵינִי	איני	4
אֵין	אין	4
אֲנִי	אני	4
כִּי	כי	4
יֵשׁ	יש	4
הוּא	הוא	4
אִם	אם	4
צמיחה	צמיחה.	3
מעזה	מעזה.	3
מאות	<deleted>	3
שמונים	<deleted>	3
הַמּוֹרִים	המורים	3
כְּמוֹ	כמו	3
כלכלית	כלכלית.	3
<inserted>	על	3
מאה	<deleted>	3
שקל	שקל.	3
אחרות	אחרות.	3
הָיוּ	היו	3
הכנסה	הכנסה.	3
"""""""קבוצת"	קבוצת	3
-	–	3
<inserted>	בית	3
אֵינוֹ	אינו	3
בְּכָל	בכל	3
בּוֹא	בוא	3
ביותר	ביותר.	3
מַה	מה	3
מאוד	מאוד.	3
עַל	על	3
הָיָה	היה	3
אָדָם	אדם	3
שלה	שלה.	3
כְּבָר	כבר	3
חמישה	<deleted>	3
מייד	מיד	3
חיים,	חיים	2
שונים	שונים.	2
פתוחות	פתוחות.	2
<inserted>	תל	2
יָצְאוּ	יצאו	2
חוקיים	חוקיים.	2
בָּרוּר	ברור	2
הִתְחִילָה	התחילה	2
מִפְּנֵי	מפני	2
לָהֶן	להן	2
בְּאַחַד	באחד	2
הַיָּמִים	הימים	2
אצל	יוצא	2
תשע	<deleted>	2
מסודרים	מסודרים.	2
הֵיכָן	היכן	2
"""""""הוא"	הוא	2
וגידים	וגידים.	2
עָמַד	עמד	2
<inserted>	לבתי	2
לבתי-הספר	הספר.	2
בחיפה	בחיפה.	2
ותשעה	29	2
הסביבה	הסביבה.	2
אָמַר	אמר	2
עַד	עד	2
–	מה	2
בְּאוֹתוֹ	באותו	2
הכלכלית	הכלכלית.	2
היא	<deleted>	2
בהכללה	בהכללה.	2
כסף	כסף.	2
במשק	במשק.	2
זה	זה.	2
התיכון	התיכון.	2
אוּלַי	אולי	2
אנשים	אנשים.	2
מסים	מיסים	2
קוקטיל	קוקטייל	2
אומרים:	אומרים	2
גבוהה	גבוה	2
עֲטֶ֣רֶת	עטרת	2
<inserted>	כי	2
ציוני	ציוני?	2
זָר	זר	2
החלש	החלש.	2
בזה	בזה.	2
יָדַעְנוּ	ידענו	2
רָאִיתִי	ראיתי	2
הַיּוֹם	היום	2
לִי	לי	2
עָלָיו	עליו	2
מוּבָן	מובן	2
לְכָל	לכל	2
אִישׁ	איש	2
הֵבִיאָה	הביאה	2
שלוש	<deleted>	2
עוֹד	עוד	2
היום	היום.	2
<inserted>	כל	2
קָרְאוּ	קראו	2
דִּין	דין	2
אֲשֶׁר	אשר	2
הַבַּיְתָה.	הביתה.	2
הֲרֵינִי	הריני	2
מוּכָן	מוכן	2
לַעֲשׂוֹת	לעשות	2
לְאַחַר	לאחר	2
הָעוֹלָם	העולם	2
הָיְתָה	הייתה	2
על-ידי	ידי	2
הזה,	הזה	2
הביתה	הביתה.	2
חודשים	חודשים.	2
אוֹ	או	2
הקרובים	הקרובים.	2
בתל-אביב	אביב	2
עשר	15	2
צודקת	צודקת.	2
ארבע	16	2
ילדים	ילדים.	2
אדם	אדם.	2
מוגן	מוגן.	2
<inserted>	של	2
שִׁלְטוֹנוֹ	שלטונו	2
מקום	מקום.	2
בית-חולים	חולים	2
<inserted>	שאי	2
שאי-אפשר	אפשר	2
אלא	אלה	1
והאמנות	והאומנות.	1
כולה	כולה.	1
בשמחה	בשמחה.	1
הרבה	הרבה.	1
ומשהו	ומשהו.	1
אמר:	אמר	1
פתוחים	פתוחים.	1
חוויה	חבירה	1
בעולם	בעולם.	1
נכונים	נכונים.	1
לדבר	לדבר.	1
<inserted>	ובני	1
ובני-נוער	נוער	1
סמים	סמים.	1
זר	זר.	1
הארכת	הערכת	1
<inserted>	אשקלון,	1
<inserted>	שדרות,	1
<inserted>	באר	1
אשקלון-שדרות-באר-שבע	שבע	1
<inserted>	הכלכלית	1
הכלכלית-החברתית	החברתית.	1
מְכַרְסֵם	מכרסם	1
בְּאָזְנֶיךָ	באוזניך	1
בְּמֶשֶׁךְ	במשך	1
שָׁעוֹת	שעות	1
תְּמִימוֹת	תמימות	1
לְלֹא	ללא	1
הַפְסָקָה	הפסקה.	1
<inserted>	קופת	1
קופת-חולים	חולים.	1
בביתו.	בבית.	1
השונים	השונים.	1
<inserted>	שבארצות	1
שבארצות-הברית	הברית	1
בשנה	בשנה.	1
תחום	תחום.	1
צחוק	צחוק.	1
מתנהלים	מתנהלים.	1
<inserted>	בפומבי	1
בפומבי,	בבית	1
בבית-משפט,	משפט	1
משירות	משירות.	1
תל-אביב	אביב?	1
הַהַכְנָסָה	ההכנסה	1
הַיּוֹתֵר	היותר	1
גְּדוֹלָה	גדולה	1
מִמְּכִירַת	ממכירת	1
בּוּלִים.	בולים.	1
אָהַבְתִּי	אהבתי	1
אֶתְכֶם,	אתכם,	1
סַפָּנִים,	ספנים	1
הַיּוֹצְאִים	היוצאים	1
בְּשִׁיר	בשיר	1
זֶמֶר	זמר	1
תָּמִים	תמים.	1
אֲנָשִׁים	אנשים	1
מִכָּאן,	מכאן	1
בִּמְקוֹם	במקום	1
סְפּוֹרְטָאִים,	ספורטאים	1
בְּעָלֵי	בעלי	1
חֶשְׁבּוֹן	חשבון.	1
שממילא	שממלא	1
רווי	רבוי	1
במפעלים	מפעלים	1
מסוכנים	מסוכנים.	1
ששותפים	ששותפים.	1
וְאִלּוּ	ואילו	1
שֶׁשִּׁיֵּךְ	ששייך	1
לְקֶרַע	לקרע	1
בְּנֶפֶשׁ,	בנפש,	1
וּמוּבָן	ומובן.	1
הוא	<deleted>	1
לא	ולא	1
ויעקב	ויעקב.	1
עַכְשָׁיו	עכשיו	1
לִתְפּוֹס	לתפוס	1
הִסְתַּלְּקוּ	הסתלקו	1
שְׁאָר	שאר	1
הָעֻובְדּוֹת	העובדות.	1
עָשִׂיתִי	עשיתי	1
כֶּסֶף	כסף	1
רַב,	רב,	1
וְהִנֵּה,	והנה	1
הָלַךְ	הלך	1
הַכֶּסֶף	הכסף	1
לַעֲזָאזֵל	לעזאזל	1
בְּעֵסֶק	בעסק	1
בִּישׁ.	ביש.	1
ירוחם	ירוחם.	1
בארץ	בארץ.	1
שם	<deleted>	1
הערות	שהמערות	1
נתקבלה	נתקבלה.	1
<inserted>	בראשיוני	1
בראשון-לציון	ציון	1
בעשרים	ב-20	1
גז	גז.	1
<inserted>	מאוימים	1
מאוימים,	–	1
רימונים	אימונים	1
חצרותיהם	עצורותיהם.	1
מחר	מחר.	1
התפעולית	התפעולית.	1
רעב	ראה	1
וממהר	וממהר.	1
למפגעים	למבקעים.	1
אגרה	אגרה?	1
המובטלים	למובטלים	1
החרדים	לחרדים.	1
ארבע	<deleted>	1
מאות	400	1
קמש	קמ״ש.	1
הם:	הם	1
ממך	ממך.	1
נשפטו	נשפטו.	1
באלפיים	<deleted>	1
ושלוש	<deleted>	1
עשרה	ב-2013.	1
אלא	<deleted>	1
אם	עליהם	1
שמתנגד	שמתנגד.	1
ושמונה	1988.	1
הסושי	הסושה	1
בחיים	בחיים.	1
<inserted>	כיושב	1
כיושב-ראש	ראש	1
הכספים	כספים	1
אַבָּא	<deleted>	1
רָץ	אבא	1
אִתִּי.	רץ	1
בַּיַּעַר	איתי	1
שָׁאַל	ביער	1
אַבָּא	ושאל	1
אִמִּי	אמי	1
חַנָה’לִי.	חנאלה.	1
כשעה	כשעה,	1
לדרכו	לדרכו.	1
העז	מעז	1
ביושר	ביושר.	1
ולהגביל	ולהגביל.	1
"""הַמַּחְלָקָה"	המחלקה	1
הַשְּׁבִיעִית	השביעית	1
"""""תַּרְבּוּת"""""	תרבות	1
אֲבֵדָה	עבדה	1
"הַמּוֹרֶה."""	המורה.	1
לְעִסַּת	לעיסת	1
הַחֲמוּרִים	החמורים	1
הִשְׁרְתָה	נשרתה	1
מְנוּחָה	מנוחה	1
בָּאָסָם	באסמה.	1
אָרְכוּ	ארכו	1
הַלֵּילוֹת	הלילות	1
וְקָצְרוּ	וקצרו	1
הַיָּמִים	הימים.	1
נשכבתי	נשכרתי	1
נִקְרָא	נקרא	1
לָקַחַת	לקחת	1
חֶרְמֵשׁ	חרמש	1
בַּיָּדַיִם.	בידיים.	1
לוֹקְחִים	לוקחים	1
כִּרְכָּרוֹת	כרכרות	1
וְנוֹסְעִים	ונוסעים	1
לִקְרָאתָם.	לקראתן.	1
לנמק	לנמק.	1
<inserted>	בסדר	1
בסדר-היום	היום	1
לעזוב	לעזוב.	1
בנעליים	בנעליים.	1
לשירות	לשירות.	1
בְּיוֹם	ביום	1
בָּהִיר	בהיר	1
יָפֶה	יפה	1
יָצָאנוּ	יצאנו	1
לְטִיּוּל	לטיול.	1
כֹּל	כל	1
הַבְּרִיאִים	הבריאים	1
מְהַלְּכִים	מהלכים	1
קְפִיצִים	קפיצים,	1
מִתְמַתְּחִים	מתמתחים	1
וּמִתְכַּוְּצִים	ומתכווצים	1
מִכְּאֵבֵי	מכאבי	1
שְׁרִירִים.	שרירים.	1
עָשָׁן	עשן	1
הֵחֵל	החל	1
לְהַחֲנִיקֵנוּ.	להחניקנו.	1
גרוע	גרוע.	1
יגיד:	יגיד,	1
דרכים	דרכים.	1
אומר:	אומר	1
"""""בתוכנית"	בתוכנית	1
"ביותר"""""""	ביותר.	1
<inserted>	ים	1
ים-המלח	המלח.	1
לך:	לך,	1
השתקנים	השתקנים.	1
החסד:	החסד	1
ייבנה	ייבנה.	1
משבעים	<deleted>	1
אחוזים	מ-70%	1
החוץ	החוץ.	1
סלקטיבית	סלקטיבית?	1
לידו,	לידו	1
ואג,	ואג	1
קוגוט	קוגוט.	1
לתקן	לתקן,	1
שמים	שמיים.	1
מה	<deleted>	1
היא	מהי	1
המשפחה	המשפחה?	1
עור	אור	1
<inserted>	בארץ	1
בארץ.	–	1
וסיטראון	וסיטואן	1
למשל	למשל.	1
שוחד	שוחד.	1
בבית	בבית,	1
ערירי	עירי	1
כלשהו	כלשהו.	1
בארבע	<deleted>	1
עשרה	ב-14	1
גפן	גחן	1
בספוטיפי	בספוטיפיי.	1
ברדיו	ברדיו.	1
אונות:	עונות	1
והשמאלית	והשמאלית.	1
העולם	העולם.	1
כָּל	<deleted>	1
סֵמֶל	כל	1
הוּא	סמל	1
מוּעָט	מועט	1
הַמְּרַמֵּז	המרמת	1
לְהַרְבֵּה.	בהרבה	1
לְדַבֵּר	<deleted>	1
עַל	<deleted>	1
הַבַּיִת	<deleted>	1
–	לדבר	1
הָעֵינַיִים	הבית	1
מְאִירוֹת	העיניים	1
בְּמִין	מהירות	1
בָּרָק	במדברת	1
מִתְגַעְגֵעַ	אנרגיה	1
וְחוֹלֵם.	וחוללת.	1
כי	<deleted>	1
הדיון	שהדיון	1
הפלילי	הפלילי.	1
בְּשָׁעָה	בשעה	1
שֶׁדָּנִי	שדני	1
וַאֲבִישַׁי	ואבישי	1
וְאִיתַי	ואיתי	1
וְרוּתִי	ורותי	1
קָפְצוּ	קפצו	1
מֵעַל	מעל	1
עֲרֵמַת	רימת	1
הַקַּשׁ	הקיץ,	1
יוֹסִי’לִי	יוסי	1
מִן	לימין	1
הַצַּד	עצב.	1
<inserted>	ראיתי	1
רְאִיתִיהָ	אוויר	1
בְּעִיר־הַבִּירָה	אווירה,	1
בְּטֶרֶם	בטרם	1
עָלִיתִי	עליתי	1
אַרְצָה.	ארץ.	1
במעצר	במעצב.	1
"""הֵם"	הם	1
גַם	גם	1
הֶחְלִיטוּ	החליטו	1
לְשַׁתְּפוֹ	לשתפו	1
בַּאֲרֻחוֹתֵיהֶם	בארוחותיהם	1
וְעָשׂוּ	ועשו	1
"""""קֻפָּה"	קופה	1
"מְשֻׁתֶּפֶת"""""""	משותפת.	1
התכנון	התכנון.	1
<inserted>	נצור	1
נְצֹ֣ר	בני	1
בְּ֭נִי	מצוות	1
מִצְוַ֣ת	אביך,	1
אָבִ֑יךָ	ואל	1
וְאַל־תִּ֝טֹּ֗שׁ	תיטוש	1
תּוֹרַ֥ת	תורת	1
אִמֶּֽךָ׃	אמך.	1
בא,	בא?	1
עולמו	עולמו?	1
להתקיים	להתקיים.	1
מקורה	הוראה	1
לניהנה	לנאמן	1
יחסי	יחסי.	1
וארבעים	140	1
התגמולים	התמלוגים	1
מועד	מועד.	1
היסטורי	היסטורי.	1
<inserted>	והבן	1
והבן-אדם	אדם	1
מהבקשה	מהבקשה.	1
ואמרתי:	ואמרתי,	1
ותסתכלו	ותסתכלו.	1
גורלנו	גורלנו?	1
הקשישים	הקשישים.	1
הפצצות	הפצצות.	1
ואחת	<deleted>	1
עשרה	2011	1
לספר	לספר.	1
החוב	החוב.	1
מֵי	מי	1
הבשמים	הפסומים	1
לבית־תפילה	תפילה	1
סרים	שרים	1
לפעמים,	לפעמים	1
<inserted>	מצב	1
מצב־רוח	רוח.	1
מאמא,	מאמא	1
מאחי,	מאחי	1
מכתבים;	מכתבים,	1
בריאים.	גרועים.	1
<inserted>	מכפר	1
מכפר-כנא	כנא	1
לשירותיה	לשירותיה.	1
במליאה	במליאה.	1
ופועל	ופועל.	1
שבועיים	שבועיים.	1
עיליות	ידעיות.	1
שתיים	2.	1
וחצי	וחצי.	1
יותר:	יותר,	1
לעולם	לעולם.	1
אוכל	האוכל	1
בושט	בוושט,	1
ומתעכל	ומתאכל	1
למעי	למאי	1
והגס	והגץ.	1
"""""""צריך"	צריך	1
"תב""""ע"""""""	טאב.	1
תנחומי	תנחומיי.	1
תל-אביב	תל	1
או	אביב	1
בערים	ובערים	1
חושדת	חושדת.	1
<inserted>	בן	1
"""""""בן-גוריון"	גוריון	1
"ה""""חאן"""""	החאן	1
"הירושלמי"""""""	הירושלמי.	1
ההצבעה	ההצבעה.	1
ושלישית	ושלישית.	1
מדאיג	מדאיג.	1
הקיצוצים	הקיצוצים.	1
אי-אמון	אמון?	1
"""""""סַפֵּר,"	ספר,	1
"יוֹסִי,"""""	יוסי,	1
"אֲבִישַׁי"""	אבישי.	1
מִתְכַּוֶונֶת	מתכוונת	1
לְהַבִּיעַ	להביאה	1
שֶבַּצוּרָה	שבצורה	1
בָּה	בה	1
חַיַית	חיית	1
עַכְשָיו	עכשיו	1
הָיִיתָ	היית	1
כָּבוּל	כבול.	1
<inserted>	אם	1
אִם	תתגלה	1
תִּתְגַּלֶּה	האבן	1
הָאֶבֶן,	הרי	1
הֲרֵי	מקומה	1
מְקוֹמָהּ	בירושלים	1
בִּירוּשָׁלַיִם,	לפי	1
לְפִי	דעתי	1
דַעְתִּי,	ולא	1
וְלֹא	בניו	1
בִּנְיוּ־יוֹרְק.	יורק.	1
חֶדֶר	חדר	1
פָּנוּי	פנוי	1
בַּמַּחֲנֶה.	במחנה.	1
דֶּרֶךְ	דרך	1
