Reference	Hypothesis	Count
2000	<deleted>	6
20	<deleted>	5
1000	0	5
1000	<deleted>	3
10	15	3
הוא	<deleted>	2
אצל	יוצא	2
900	<deleted>	2
80	<deleted>	2
שמים	שמיים	2
<inserted>	על	2
יוסילי	יוסי	2
100	<deleted>	2
9	29	2
או	<deleted>	2
השמים	השמיים	2
2	<deleted>	2
חד	<deleted>	2
גבוהה	גבוה	2
3	23	2
הבין	<deleted>	2
לאומיים	הבינלאומיים	2
<inserted>	כל	2
היה	חיה	2
5	<deleted>	2
4	16	2
ב	<deleted>	2
ל	<deleted>	2
אתה	עתה	2
<inserted>	של	2
ש	<deleted>	2
אלא	אלה	1
והאמנות	והאומנות	1
חוויה	חבירה	1
הארכת	הערכת	1
בביתו	בבית	1
שממילא	שממלא	1
במפעלים	מפעלים	1
ששיך	ששייך	1
לא	ולא	1
שם	<deleted>	1
הערות	שהמערות	1
בראשון	בראשיוני	1
לציון	ציון	1
<inserted>	ב	1
רימונים	אימונים	1
חצרותיהם	עצורותיהם	1
רעב	ראה	1
המובטלים	למובטלים	1
החרדים	לחרדים	1
3	ב	1
10	2013	1
אלא	<deleted>	1
אם	עליהם	1
8	1988	1
הסושי	הסושה	1
הכספים	כספים	1
שאל	<deleted>	1
אבא	ושאל	1
חנהלי	חנאלה	1
העז	מעז	1
אבדה	עבדה	1
לעסת	לעיסת	1
השרתה	נשרתה	1
באסם	באסמה	1
נשכבתי	נשכרתי	1
ומתכוצים	ומתכווצים	1
70	מ	1
אחוזים	70	1
מה	<deleted>	1
היא	מהי	1
עור	אור	1
וסיטראון	וסיטואן	1
ערירי	עירי	1
4	ב	1
10	14	1
גפן	גחן	1
בספוטיפי	בספוטיפיי	1
אונות	עונות	1
המרמז	המרמת	1
להרבה	בהרבה	1
על	<deleted>	1
מאירות	<deleted>	1
במין	מהירות	1
ברק	במדברת	1
מתגעגע	אנרגיה	1
וחולם	וחוללת	1
כי	<deleted>	1
הדיון	שהדיון	1
ערמת	רימת	1
הקש	הקיץ	1
מן	לימין	1
הצד	עצב	1
<inserted>	ראיתי	1
ראיתיה	אוויר	1
בעירהבירה	אווירה	1
ארצה	ארץ	1
במעצר	במעצב	1
בארחותיהם	בארוחותיהם	1
קפה	קופה	1
משתפת	משותפת	1
נצר	נצור	1
מצות	מצוות	1
<inserted>	ואל	1
ואלתטש	תיטוש	1
מקורה	הוראה	1
לניהנה	לנאמן	1
40	140	1
התגמולים	התמלוגים	1
1	<deleted>	1
10	2011	1
הבשמים	הפסומים	1
<inserted>	לבית	1
לביתתפילה	תפילה	1
סרים	שרים	1
<inserted>	מצב	1
מצברוח	רוח	1
בריאים	גרועים	1
עיליות	ידעיות	1
בושט	בוושט	1
ומתעכל	ומתאכל	1
למעי	למי	1
והגס	והגץ	1
תב	<deleted>	1
ע	טאב	1
תנחומי	תנחומיי	1
בערים	ובערים	1
אזבסט	אסבסט	1
ה	<deleted>	1
חאן	החאן	1
להביע	להביאה	1
<inserted>	בניו	1
בניויורק	יורק	1
ארכה	הלוחקה	1
כן	<deleted>	1
זה	כסף	1
פנייך	פניי	1
200	<deleted>	1
1	281	1
והתביעות	והתהיות	1
לאריק	לארק	1
היא	<deleted>	1
הרסנית	ירסנית	1
ההתייקרויות	ההתייקרות	1
10	2012	1
סובל	סבל	1
מעניין	בעניין	1
50	150	1
רגאטון	<deleted>	1
רית	רגיתון	1
ם	ריתם	1
איזה	זה	1
